lsa,operator,technology,month,year,speed_mbps
Tamil Nadu,AIRTEL,4G,2,2025,25.326171875
Haryana,JIO,4G,2,2025,11.783203125
Kerala,Vi India,4G,2,2025,0.705078125
Haryana,JIO,4G,2,2025,4.369140625
Andhra Pradesh,AIRTEL,4G,2,2025,1.5673828125
Mumbai,JIO,4G,2,2025,71.037109375
Haryana,AIRTEL,4G,2,2025,2.5
Maharashtra,JIO,4G,2,2025,9.00390625
Haryana,AIRTEL,4G,2,2025,22.869140625
Mumbai,JIO,4G,2,2025,8.8359375
Karnataka,CELLONE,4G,2,2025,3.0927734375
Maharashtra,JIO,4G,2,2025,3.62109375
Maharashtra,JIO,4G,2,2025,51.244140625
Haryana,JIO,4G,2,2025,69.583984375
Haryana,JIO,4G,2,2025,0.0869140625
West Bengal,JIO,4G,2,2025,4.7802734375
West Bengal,JIO,4G,2,2025,72.40234375
Maharashtra,JIO,4G,2,2025,68.662109375
West Bengal,JIO,4G,2,2025,8.9189453125
Maharashtra,JIO,4G,2,2025,8.80859375
Bihar,JIO,4G,2,2025,4.763671875
UP West,CELLONE,4G,2,2025,12.3291015625
West Bengal,AIRTEL,4G,2,2025,6.892578125
West Bengal,JIO,4G,2,2025,69.328125
Maharashtra,JIO,4G,2,2025,66.650390625
West Bengal,JIO,4G,2,2025,44.814453125
Maharashtra,JIO,4G,2,2025,66.0478515625
West Bengal,JIO,4G,2,2025,60.583984375
Kolkata,Vi India,4G,2,2025,2.3828125
UP East,AIRTEL,4G,2,2025,4.919921875
Maharashtra,JIO,4G,2,2025,6.1416015625
Punjab,AIRTEL,4G,2,2025,13.63671875
Maharashtra,AIRTEL,4G,2,2025,33.935546875
West Bengal,JIO,4G,2,2025,8.9658203125
North East,CELLONE,4G,2,2025,1.205078125
Maharashtra,JIO,4G,2,2025,0.2578125
Maharashtra,Vi India,4G,2,2025,28.572265625
UP East,JIO,4G,2,2025,2.1015625
Bihar,JIO,4G,2,2025,67.3271484375
Bihar,JIO,4G,2,2025,3.9541015625
West Bengal,JIO,4G,2,2025,50.53125
West Bengal,JIO,4G,2,2025,70.169921875
Haryana,JIO,4G,2,2025,8.9560546875
West Bengal,JIO,4G,2,2025,45.958984375
Haryana,JIO,4G,2,2025,8.9736328125
Bihar,CELLONE,4G,2,2025,3.9716796875
Bihar,JIO,4G,2,2025,8.9453125
Rajasthan,Vi India,4G,2,2025,10.5703125
Bihar,JIO,4G,2,2025,6.287109375
Bihar,JIO,4G,2,2025,62.0869140625
Bihar,JIO,4G,2,2025,59.6923828125
West Bengal,JIO,4G,2,2025,68.765625
Maharashtra,JIO,4G,2,2025,0.6845703125
West Bengal,JIO,4G,2,2025,72.12890625
Punjab,AIRTEL,4G,2,2025,1.814453125
Maharashtra,JIO,4G,2,2025,71.2314453125
Andhra Pradesh,CELLONE,4G,2,2025,1.1103515625
Himachal Pradesh,CELLONE,4G,2,2025,3.9150390625
Orissa,JIO,4G,2,2025,2.05078125
Karnataka,JIO,4G,2,2025,1.9501953125
Maharashtra,JIO,4G,2,2025,12.4677734375
Maharashtra,CELLONE,4G,2,2025,3.08984375
Maharashtra,JIO,4G,2,2025,4.255859375
Haryana,JIO,4G,2,2025,17.623046875
Haryana,AIRTEL,4G,2,2025,17.14453125
Mumbai,JIO,4G,2,2025,4.6748046875
Rajasthan,CELLONE,4G,2,2025,0.5107421875
Maharashtra,JIO,4G,2,2025,70.482421875
Mumbai,JIO,4G,2,2025,67.30078125
Maharashtra,JIO,4G,2,2025,8.892578125
Mumbai,JIO,4G,2,2025,63.912109375
Maharashtra,JIO,4G,2,2025,8.3251953125
Tamil Nadu,JIO,4G,2,2025,8.3779296875
Karnataka,JIO,4G,2,2025,1.333984375
West Bengal,JIO,4G,2,2025,8.9140625
Rajasthan,JIO,4G,2,2025,4.83203125
Delhi,JIO,4G,2,2025,6.5146484375
West Bengal,JIO,4G,2,2025,67.6201171875
Maharashtra,JIO,4G,2,2025,65.005859375
West Bengal,JIO,4G,2,2025,69.28125
West Bengal,JIO,4G,2,2025,6.138671875
Maharashtra,CELLONE,4G,2,2025,18.42578125
West Bengal,JIO,4G,2,2025,67.3505859375
Orissa,CELLONE,3G,2,2025,3.7587890625
West Bengal,JIO,4G,2,2025,69.240234375
Maharashtra,JIO,4G,2,2025,31.77734375
West Bengal,JIO,4G,2,2025,8.880859375
Rajasthan,JIO,4G,2,2025,1.32421875
Andhra Pradesh,CELLONE,4G,2,2025,10.6103515625
Maharashtra,JIO,4G,2,2025,51.0361328125
Haryana,AIRTEL,4G,2,2025,8.4208984375
Mumbai,AIRTEL,4G,2,2025,20.150390625
Maharashtra,JIO,4G,2,2025,7.6953125
Bihar,JIO,4G,2,2025,62.3974609375
Bihar,JIO,4G,2,2025,65.2763671875
Bihar,JIO,4G,2,2025,51.2314453125
Haryana,JIO,4G,2,2025,3.2626953125
Maharashtra,JIO,4G,2,2025,51.0361328125
Bihar,JIO,4G,2,2025,56.310546875
UP West,JIO,4G,2,2025,23.599609375
Tamil Nadu,JIO,4G,2,2025,17.1435546875
Haryana,CELLONE,3G,2,2025,1.291015625
UP West,CELLONE,4G,2,2025,1.001953125
West Bengal,JIO,4G,2,2025,8.9619140625
West Bengal,CELLONE,3G,2,2025,6.6005859375
Assam,JIO,4G,2,2025,10.6123046875
West Bengal,CELLONE,3G,2,2025,1.2216796875
Haryana,JIO,4G,2,2025,8.638671875
Haryana,JIO,4G,2,2025,72.2216796875
Haryana,AIRTEL,4G,2,2025,0.259765625
West Bengal,JIO,4G,2,2025,65.62109375
West Bengal,JIO,4G,2,2025,8.998046875
Chennai,JIO,4G,2,2025,0.6796875
Haryana,JIO,4G,2,2025,7.2119140625
UP East,AIRTEL,4G,2,2025,14.525390625
Madhya Pradesh,AIRTEL,4G,2,2025,0.654296875
Chennai,AIRTEL,4G,2,2025,95.6396484375
Andhra Pradesh,CELLONE,4G,2,2025,0.70703125
Haryana,JIO,4G,2,2025,73.4580078125
West Bengal,CELLONE,4G,2,2025,5.3876953125
Karnataka,JIO,4G,2,2025,1.673828125
Delhi,JIO,4G,2,2025,21.421875
Haryana,JIO,4G,2,2025,8.9228515625
Maharashtra,JIO,4G,2,2025,8.9755859375
Andhra Pradesh,AIRTEL,4G,2,2025,7.94921875
Tamil Nadu,Vi India,4G,2,2025,0.283203125
Haryana,JIO,4G,2,2025,69.9150390625
Haryana,JIO,4G,2,2025,62.5458984375
UP East,CELLONE,4G,2,2025,4.0517578125
Haryana,JIO,4G,2,2025,0.09765625
West Bengal,JIO,4G,2,2025,64.505859375
Gujarat,AIRTEL,4G,2,2025,9.38671875
Rajasthan,Vi India,4G,2,2025,0.9169921875
Haryana,AIRTEL,4G,2,2025,0.8466796875
Delhi,AIRTEL,4G,2,2025,126.6923828125
Karnataka,JIO,4G,2,2025,8.90234375
Maharashtra,AIRTEL,4G,2,2025,1.2724609375
Gujarat,AIRTEL,4G,2,2025,0.1328125
Haryana,AIRTEL,4G,2,2025,0.5712890625
UP East,AIRTEL,4G,2,2025,20.5
Madhya Pradesh,JIO,4G,2,2025,2.58203125
Kerala,Vi India,4G,2,2025,5.5283203125
Kerala,AIRTEL,4G,2,2025,0.4873046875
Maharashtra,AIRTEL,4G,2,2025,2.1357421875
West Bengal,Vi India,4G,2,2025,6.6669921875
Maharashtra,JIO,4G,2,2025,4.7607421875
West Bengal,JIO,4G,2,2025,6.12890625
West Bengal,JIO,4G,2,2025,8.58984375
Haryana,JIO,4G,2,2025,62.1953125
Maharashtra,JIO,4G,2,2025,51.8974609375
Haryana,JIO,4G,2,2025,24.8671875
Maharashtra,JIO,4G,2,2025,69.6337890625
West Bengal,JIO,4G,2,2025,2.3603515625
UP East,JIO,4G,2,2025,18.61328125
West Bengal,AIRTEL,4G,2,2025,16.7236328125
Bihar,JIO,4G,2,2025,8.322265625
West Bengal,JIO,4G,2,2025,60.5400390625
Rajasthan,CELLONE,3G,2,2025,0.4560546875
West Bengal,JIO,4G,2,2025,4.3203125
Maharashtra,JIO,4G,2,2025,4.701171875
UP East,CELLONE,4G,2,2025,10.2060546875
Kerala,JIO,4G,2,2025,0.2099609375
Maharashtra,JIO,4G,2,2025,72.2060546875
Rajasthan,JIO,4G,2,2025,33.8369140625
Maharashtra,JIO,4G,2,2025,8.921875
West Bengal,JIO,4G,2,2025,67.427734375
West Bengal,JIO,4G,2,2025,69.357421875
Bihar,JIO,4G,2,2025,41.7509765625
Bihar,JIO,4G,2,2025,8.884765625
West Bengal,JIO,4G,2,2025,68.1630859375
UP West,CELLONE,4G,2,2025,4.609375
West Bengal,JIO,4G,2,2025,72.59375
West Bengal,JIO,4G,2,2025,8.98828125
Punjab,Vi India,4G,2,2025,14.4150390625
Delhi,Vi India,4G,2,2025,6.3515625
Andhra Pradesh,JIO,4G,2,2025,7.8359375
West Bengal,JIO,4G,2,2025,8.953125
West Bengal,JIO,4G,2,2025,8.970703125
Haryana,JIO,4G,2,2025,1.0185546875
Rajasthan,Vi India,4G,2,2025,13.6435546875
West Bengal,CELLONE,4G,2,2025,6.48828125
Tamil Nadu,AIRTEL,4G,2,2025,0.91015625
Delhi,JIO,4G,2,2025,34.5869140625
Haryana,AIRTEL,4G,2,2025,1.1318359375
Haryana,JIO,4G,2,2025,1.216796875
Karnataka,AIRTEL,4G,2,2025,14.5849609375
Haryana,AIRTEL,4G,2,2025,1.2119140625
Andhra Pradesh,JIO,4G,2,2025,17.8369140625
Kolkata,JIO,4G,2,2025,2.994140625
West Bengal,JIO,4G,2,2025,1.8486328125
Kolkata,JIO,4G,2,2025,3.7109375
West Bengal,JIO,4G,2,2025,71.380859375
West Bengal,JIO,4G,2,2025,8.9384765625
West Bengal,JIO,4G,2,2025,8.9267578125
UP West,JIO,4G,2,2025,11.5390625
West Bengal,JIO,4G,2,2025,68.2138671875
West Bengal,JIO,4G,2,2025,9.00390625
Bihar,AIRTEL,4G,2,2025,8.044921875
Punjab,JIO,4G,2,2025,26.0244140625
Andhra Pradesh,JIO,4G,2,2025,0.1826171875
West Bengal,JIO,4G,2,2025,66.8017578125
Maharashtra,CELLONE,3G,2,2025,0.1494140625
Delhi,AIRTEL,4G,2,2025,25.0556640625
West Bengal,JIO,4G,2,2025,8.9990234375
West Bengal,JIO,4G,2,2025,66.1640625
West Bengal,JIO,4G,2,2025,68.923828125
Maharashtra,JIO,4G,2,2025,4.4599609375
West Bengal,JIO,4G,2,2025,8.939453125
Mumbai,AIRTEL,4G,2,2025,0.1982421875
Haryana,JIO,4G,2,2025,3.7353515625
Kerala,JIO,4G,2,2025,1.0478515625
West Bengal,JIO,4G,2,2025,67.7900390625
Maharashtra,JIO,4G,2,2025,0.41015625
Orissa,AIRTEL,4G,2,2025,0.22265625
UP East,JIO,4G,2,2025,0.9638671875
West Bengal,JIO,4G,2,2025,8.955078125
West Bengal,JIO,4G,2,2025,8.953125
Maharashtra,JIO,4G,2,2025,0.3896484375
Punjab,JIO,4G,2,2025,27.337890625
West Bengal,JIO,4G,2,2025,68.310546875
Punjab,JIO,4G,2,2025,0.5693359375
Tamil Nadu,CELLONE,3G,2,2025,0.20703125
West Bengal,JIO,4G,2,2025,8.9638671875
Tamil Nadu,JIO,4G,2,2025,10.7109375
West Bengal,JIO,4G,2,2025,9.0263671875
West Bengal,JIO,4G,2,2025,70.736328125
Andhra Pradesh,AIRTEL,4G,2,2025,22.8037109375
West Bengal,JIO,4G,2,2025,74.6142578125
Mumbai,AIRTEL,4G,2,2025,1.5078125
West Bengal,JIO,4G,2,2025,8.9853515625
West Bengal,JIO,4G,2,2025,8.9833984375
West Bengal,JIO,4G,2,2025,67.65625
West Bengal,JIO,4G,2,2025,72.400390625
West Bengal,JIO,4G,2,2025,68.7666015625
Delhi,JIO,4G,2,2025,2.05859375
Bihar,AIRTEL,4G,2,2025,0.3271484375
West Bengal,JIO,4G,2,2025,9.0
Maharashtra,Vi India,4G,2,2025,10.513671875
West Bengal,JIO,4G,2,2025,8.9619140625
West Bengal,JIO,4G,2,2025,8.9296875
West Bengal,JIO,4G,2,2025,8.9072265625
West Bengal,JIO,4G,2,2025,79.6572265625
Haryana,AIRTEL,4G,2,2025,0.6279296875
Andhra Pradesh,JIO,4G,2,2025,0.0234375
Bihar,AIRTEL,4G,2,2025,9.5458984375
Kerala,JIO,4G,2,2025,8.95703125
Andhra Pradesh,CELLONE,4G,2,2025,0.130859375
Jammu & Kashmir,AIRTEL,4G,2,2025,15.3681640625
Mumbai,JIO,4G,2,2025,4.0263671875
Tamil Nadu,AIRTEL,4G,2,2025,19.1484375
West Bengal,JIO,4G,2,2025,8.9423828125
West Bengal,JIO,4G,2,2025,69.4287109375
Delhi,Vi India,4G,2,2025,0.017578125
Kerala,JIO,4G,2,2025,2.7294921875
North East,AIRTEL,4G,2,2025,0.3798828125
UP West,JIO,4G,2,2025,25.5361328125
UP East,JIO,4G,2,2025,14.7412109375
West Bengal,JIO,4G,2,2025,70.310546875
Assam,JIO,4G,2,2025,7.6640625
Delhi,JIO,4G,2,2025,31.9140625
Andhra Pradesh,AIRTEL,4G,2,2025,2.4814453125
Tamil Nadu,JIO,4G,2,2025,5.490234375
West Bengal,JIO,4G,2,2025,8.58984375
Punjab,JIO,4G,2,2025,3.7724609375
UP West,AIRTEL,4G,2,2025,5.1552734375
Chennai,JIO,4G,2,2025,46.9013671875
West Bengal,JIO,4G,2,2025,10.103515625
Tamil Nadu,AIRTEL,4G,2,2025,6.1875
Karnataka,CELLONE,4G,2,2025,0.3359375
Delhi,JIO,4G,2,2025,8.39453125
Haryana,AIRTEL,4G,2,2025,1.798828125
Tamil Nadu,JIO,4G,2,2025,1.173828125
UP West,JIO,4G,2,2025,0.0732421875
Haryana,AIRTEL,4G,2,2025,19.9765625
Assam,JIO,4G,2,2025,4.61328125
West Bengal,JIO,4G,2,2025,31.9150390625
West Bengal,JIO,4G,2,2025,68.541015625
West Bengal,JIO,4G,2,2025,6.5439453125
West Bengal,JIO,4G,2,2025,70.109375
West Bengal,JIO,4G,2,2025,6.759765625
Andhra Pradesh,AIRTEL,4G,2,2025,11.859375
Kerala,JIO,4G,2,2025,0.234375
Haryana,AIRTEL,4G,2,2025,55.5634765625
Haryana,AIRTEL,4G,2,2025,37.0908203125
Haryana,AIRTEL,4G,2,2025,28.4013671875
Maharashtra,JIO,4G,2,2025,6.0947265625
Orissa,AIRTEL,4G,2,2025,23.7978515625
Kerala,JIO,4G,2,2025,0.94921875
West Bengal,JIO,4G,2,2025,65.9541015625
Delhi,JIO,4G,2,2025,2.5712890625
West Bengal,JIO,4G,2,2025,8.9912109375
Tamil Nadu,JIO,4G,2,2025,2.09765625
West Bengal,JIO,4G,2,2025,66.88671875
Delhi,AIRTEL,4G,2,2025,0.0361328125
West Bengal,JIO,4G,2,2025,8.5244140625
West Bengal,JIO,4G,2,2025,55.7548828125
UP East,JIO,4G,2,2025,16.005859375
West Bengal,JIO,4G,2,2025,8.80859375
West Bengal,JIO,4G,2,2025,72.1748046875
West Bengal,JIO,4G,2,2025,65.7880859375
West Bengal,JIO,4G,2,2025,8.876953125
Punjab,JIO,4G,2,2025,8.23046875
West Bengal,JIO,4G,2,2025,67.279296875
Tamil Nadu,AIRTEL,4G,2,2025,4.71484375
Madhya Pradesh,JIO,4G,2,2025,35.5810546875
UP East,JIO,4G,2,2025,5.8837890625
Punjab,AIRTEL,4G,2,2025,5.59375
West Bengal,JIO,4G,2,2025,69.111328125
West Bengal,JIO,4G,2,2025,8.7822265625
Maharashtra,JIO,4G,2,2025,0.240234375
Kolkata,Vi India,4G,2,2025,0.244140625
UP East,JIO,4G,2,2025,38.2978515625
Gujarat,JIO,4G,2,2025,0.0751953125
Maharashtra,JIO,4G,2,2025,5.9248046875
West Bengal,JIO,4G,2,2025,7.3408203125
West Bengal,JIO,4G,2,2025,8.591796875
Orissa,AIRTEL,4G,2,2025,3.32421875
West Bengal,JIO,4G,2,2025,49.5341796875
Haryana,AIRTEL,4G,2,2025,3.4072265625
West Bengal,JIO,4G,2,2025,8.732421875
Madhya Pradesh,JIO,4G,2,2025,17.591796875
Bihar,JIO,4G,2,2025,7.98046875
UP East,JIO,4G,2,2025,12.3828125
Madhya Pradesh,JIO,4G,2,2025,0.8720703125
Haryana,AIRTEL,4G,2,2025,53.16796875
Bihar,AIRTEL,4G,2,2025,130.263671875
Chennai,AIRTEL,4G,2,2025,5.869140625
Gujarat,AIRTEL,4G,2,2025,9.9306640625
Gujarat,AIRTEL,4G,2,2025,47.2685546875
Gujarat,JIO,4G,2,2025,3.798828125
Haryana,AIRTEL,4G,2,2025,0.490234375
West Bengal,JIO,4G,2,2025,6.8388671875
West Bengal,JIO,4G,2,2025,8.5439453125
Haryana,AIRTEL,4G,2,2025,61.1162109375
Gujarat,JIO,4G,2,2025,23.8125
UP East,AIRTEL,4G,2,2025,33.55078125
West Bengal,JIO,4G,2,2025,66.1748046875
Haryana,AIRTEL,4G,2,2025,0.220703125
West Bengal,JIO,4G,2,2025,8.64453125
Gujarat,JIO,4G,2,2025,34.935546875
UP East,CELLONE,4G,2,2025,5.3291015625
UP West,AIRTEL,4G,2,2025,0.5869140625
West Bengal,JIO,4G,2,2025,67.1611328125
Gujarat,JIO,4G,2,2025,20.6357421875
Kerala,CELLONE,4G,2,2025,1.3837890625
North East,JIO,4G,2,2025,55.1337890625
Mumbai,JIO,4G,2,2025,39.513671875
Haryana,AIRTEL,4G,2,2025,0.4599609375
Rajasthan,CELLONE,4G,2,2025,21.05859375
UP West,CELLONE,4G,2,2025,5.1689453125
Rajasthan,CELLONE,4G,2,2025,14.4755859375
West Bengal,JIO,4G,2,2025,41.2744140625
Haryana,AIRTEL,4G,2,2025,1.572265625
West Bengal,JIO,4G,2,2025,8.556640625
Tamil Nadu,JIO,4G,2,2025,4.720703125
West Bengal,JIO,4G,2,2025,67.2275390625
Haryana,AIRTEL,4G,2,2025,0.541015625
Andhra Pradesh,CELLONE,4G,2,2025,0.8154296875
West Bengal,JIO,4G,2,2025,67.0302734375
West Bengal,JIO,4G,2,2025,8.6923828125
West Bengal,JIO,4G,2,2025,8.7197265625
Haryana,AIRTEL,4G,2,2025,2.2373046875
Andhra Pradesh,JIO,4G,2,2025,11.26171875
Maharashtra,JIO,4G,2,2025,0.8330078125
Haryana,AIRTEL,4G,2,2025,4.1689453125
West Bengal,JIO,4G,2,2025,20.974609375
Madhya Pradesh,JIO,4G,2,2025,45.4677734375
Maharashtra,CELLONE,3G,2,2025,9.7724609375
Madhya Pradesh,CELLONE,4G,2,2025,7.4677734375
Haryana,AIRTEL,4G,2,2025,10.7060546875
UP West,JIO,4G,2,2025,5.3701171875
UP East,AIRTEL,4G,2,2025,53.5244140625
Delhi,JIO,4G,2,2025,12.310546875
Andhra Pradesh,JIO,4G,2,2025,0.2158203125
Orissa,AIRTEL,4G,2,2025,0.9482421875
Haryana,AIRTEL,4G,2,2025,3.9736328125
Delhi,Vi India,4G,2,2025,0.9228515625
Gujarat,AIRTEL,4G,2,2025,5.76171875
West Bengal,JIO,4G,2,2025,71.62890625
West Bengal,JIO,4G,2,2025,70.6484375
West Bengal,JIO,4G,2,2025,6.25390625
UP East,AIRTEL,4G,2,2025,1.6142578125
Gujarat,Vi India,4G,2,2025,0.462890625
Himachal Pradesh,CELLONE,4G,2,2025,10.248046875
Haryana,JIO,4G,2,2025,1.3271484375
West Bengal,CELLONE,4G,2,2025,0.875
West Bengal,JIO,4G,2,2025,7.8759765625
Tamil Nadu,JIO,4G,2,2025,1.869140625
Haryana,AIRTEL,4G,2,2025,3.5498046875
Rajasthan,CELLONE,4G,2,2025,6.513671875
Kerala,AIRTEL,4G,2,2025,1.1591796875
Haryana,AIRTEL,4G,2,2025,5.80078125
Kerala,JIO,4G,2,2025,16.0693359375
West Bengal,JIO,4G,2,2025,7.79296875
West Bengal,JIO,4G,2,2025,39.7529296875
Haryana,AIRTEL,4G,2,2025,21.552734375
Andhra Pradesh,CELLONE,4G,2,2025,1.1220703125
UP East,CELLONE,4G,2,2025,6.8583984375
Himachal Pradesh,CELLONE,4G,2,2025,0.40234375
Himachal Pradesh,CELLONE,4G,2,2025,0.6513671875
Rajasthan,AIRTEL,4G,2,2025,10.2763671875
Punjab,CELLONE,4G,2,2025,0.9453125
West Bengal,JIO,4G,2,2025,7.0830078125
Haryana,AIRTEL,4G,2,2025,0.5390625
West Bengal,JIO,4G,2,2025,28.740234375
Orissa,JIO,4G,2,2025,1.2509765625
UP West,Vi India,4G,2,2025,1.1005859375
West Bengal,JIO,4G,2,2025,8.6689453125
Tamil Nadu,CELLONE,3G,2,2025,1.8564453125
Kerala,Vi India,4G,2,2025,2.048828125
UP East,JIO,4G,2,2025,0.544921875
Kerala,CELLONE,4G,2,2025,19.6953125
Gujarat,AIRTEL,4G,2,2025,37.6611328125
UP West,JIO,4G,2,2025,15.9921875
Orissa,AIRTEL,4G,2,2025,8.87109375
Andhra Pradesh,AIRTEL,4G,2,2025,36.056640625
Kolkata,Vi India,4G,2,2025,0.9404296875
Haryana,JIO,4G,2,2025,4.7607421875
West Bengal,AIRTEL,4G,2,2025,2.9091796875
Haryana,JIO,4G,2,2025,22.732421875
UP West,JIO,4G,2,2025,3.958984375
Maharashtra,AIRTEL,4G,2,2025,2.3505859375
Punjab,JIO,4G,2,2025,38.017578125
UP West,AIRTEL,4G,2,2025,1.3994140625
Tamil Nadu,JIO,4G,2,2025,6.68359375
UP East,AIRTEL,4G,2,2025,39.5
Delhi,JIO,4G,2,2025,4.861328125
Maharashtra,AIRTEL,4G,2,2025,36.5625
Karnataka,CELLONE,4G,2,2025,10.3310546875
Haryana,JIO,4G,2,2025,23.671875
West Bengal,JIO,4G,2,2025,8.759765625
Kerala,CELLONE,4G,2,2025,12.8271484375
Maharashtra,AIRTEL,4G,2,2025,1.630859375
UP West,JIO,4G,2,2025,44.7041015625
Chennai,Vi India,4G,2,2025,7.3193359375
Haryana,JIO,4G,2,2025,4.9365234375
Assam,JIO,4G,2,2025,25.673828125
UP East,AIRTEL,4G,2,2025,0.638671875
West Bengal,JIO,4G,2,2025,70.14453125
Kerala,JIO,4G,2,2025,20.779296875
West Bengal,JIO,4G,2,2025,8.4677734375
Kerala,JIO,4G,2,2025,2.744140625
Kerala,Vi India,4G,2,2025,8.0380859375
Punjab,AIRTEL,4G,2,2025,7.783203125
Bihar,AIRTEL,4G,2,2025,48.509765625
UP West,AIRTEL,4G,2,2025,4.791015625
Andhra Pradesh,JIO,4G,2,2025,0.12109375
West Bengal,JIO,4G,2,2025,8.646484375
West Bengal,JIO,4G,2,2025,50.7109375
Andhra Pradesh,CELLONE,4G,2,2025,0.6953125
Karnataka,JIO,4G,2,2025,0.1435546875
Tamil Nadu,CELLONE,4G,2,2025,3.416015625
UP East,AIRTEL,4G,2,2025,3.865234375
Delhi,Vi India,4G,2,2025,0.8359375
Gujarat,Vi India,4G,2,2025,3.9931640625
Haryana,JIO,4G,2,2025,41.6396484375
Gujarat,AIRTEL,4G,2,2025,54.251953125
Madhya Pradesh,Vi India,4G,2,2025,3.57421875
Haryana,JIO,4G,2,2025,25.974609375
Haryana,JIO,4G,2,2025,0.0517578125
Haryana,JIO,4G,2,2025,5.515625
Kerala,AIRTEL,4G,2,2025,0.4140625
Madhya Pradesh,JIO,4G,2,2025,19.083984375
Gujarat,Vi India,4G,2,2025,1.6845703125
West Bengal,JIO,4G,2,2025,27.5908203125
Haryana,AIRTEL,4G,2,2025,10.8359375
UP East,JIO,4G,2,2025,4.3330078125
Punjab,JIO,4G,2,2025,32.9453125
West Bengal,JIO,4G,2,2025,8.7294921875
Bihar,AIRTEL,4G,2,2025,13.029296875
Madhya Pradesh,AIRTEL,4G,2,2025,1.025390625
West Bengal,JIO,4G,2,2025,57.36328125
Maharashtra,JIO,4G,2,2025,6.9892578125
UP East,CELLONE,4G,2,2025,6.314453125
Karnataka,JIO,4G,2,2025,6.1640625
UP East,JIO,4G,2,2025,3.3056640625
Andhra Pradesh,AIRTEL,4G,2,2025,3.3203125
Kerala,JIO,4G,2,2025,0.2451171875
Gujarat,JIO,4G,2,2025,19.0732421875
Himachal Pradesh,CELLONE,3G,2,2025,2.0986328125
Haryana,AIRTEL,4G,2,2025,2.7529296875
Haryana,JIO,4G,2,2025,8.443359375
Tamil Nadu,AIRTEL,4G,2,2025,30.8798828125
Haryana,JIO,4G,2,2025,8.87109375
Haryana,JIO,4G,2,2025,69.7919921875
Rajasthan,AIRTEL,4G,2,2025,8.0634765625
Bihar,AIRTEL,4G,2,2025,41.2978515625
Karnataka,JIO,4G,2,2025,3.857421875
Delhi,Vi India,4G,2,2025,10.03125
Andhra Pradesh,AIRTEL,4G,2,2025,10.9775390625
Kerala,JIO,4G,2,2025,0.7646484375
Andhra Pradesh,JIO,4G,2,2025,3.9912109375
UP East,AIRTEL,4G,2,2025,7.6279296875
West Bengal,AIRTEL,4G,2,2025,23.34765625
Chennai,Vi India,4G,2,2025,10.498046875
Haryana,AIRTEL,4G,2,2025,39.4482421875
Haryana,JIO,4G,2,2025,46.646484375
Assam,JIO,4G,2,2025,19.2548828125
Madhya Pradesh,JIO,4G,2,2025,2.541015625
Maharashtra,Vi India,4G,2,2025,64.017578125
Delhi,AIRTEL,4G,2,2025,7.3896484375
Assam,JIO,4G,2,2025,0.3173828125
Haryana,JIO,4G,2,2025,8.75
Haryana,AIRTEL,4G,2,2025,0.7568359375
Haryana,JIO,4G,2,2025,8.8935546875
